song_title,song_title,Song title,Название песни,Назва пісні,歌名,曲名,노래 제목,Título de la canción,
choose_genre,choose_genre,Choose genre,Выбрать жанр,Обери жанр,选择音乐类型,ジャンルを選択,장르 선택,Elige género,
please_complete_your_profile,Please complete your profile (country) to be able to add a song,Please complete your profile (country) to be able to add a song,"Чтобы добавить песню, заполните свой профиль (страну)","Щоб додати пісню, заповни, будь ласка, свій профіль (країну) ",请填写你的个​​人资料（国家/地区）以便能够添加歌曲,,노래를 추가하려면 프로필(국가)을 완료하십시오,Por favor complete su perfil (país) para poder agregar una canción,
add_song_to,Add song to,Add song to,Добавить песню ,Додати пісню,将歌曲添加到,,노래 추가하기,Agregar canción a,
,Список жанров во вкладке ниже,,,,,,,,
co_authors,add_co-authors,Add Co-Authors,Добавить соавторов,Додати співавторів,添加共同作者,共著者を追加する,공동 저자 추가,Agregar coautores,
description,description,Description,Описание,Опис,说明字段,説明,설명,Descripción,
social_link,social_link,Social link,Ссылка на Соц.медиа,Посилання на Соціальні мережі,社交链接,ソーシャルリンク,소셜 링크,Enlace social,
next_step,next_step,Next step,Следующий шаг,Наступний крок,下一个步骤,次のステップ,다음 스텝,Siguiente paso,
general_description,general_description,General description,Общее описание,Загальний опис,总体说明,概要,개괄적 묘사,Descripción general,
about_your_song,about_your_song,About Your Song,О твоей песне,Про твою пісню,介绍您的歌曲,自分の曲について,노래 소개,Sobre tu canción,
i_have_seeked_consent,i_have_seeked_consent,I have seeked consent from my co-writers to submit this Song for the Djooky Music Awards.,Я получил согласие моих со-авторов представить эту песню на премию Djooky Music Awards,Я отримав згоду у своїх співавторів номінувати цю пісню на премію Djooky Music Awards.,为了本人将歌曲提名为无界音乐平台音乐奖，合作者已经同意了。,Djooky Music Awardsのコンテストに曲を提出するために、協力者は同意しました。,저는 이 노래를 Djooky Music Awards에 제출하기 위해 제 공저자 작곡가의 동의를 구했습니다.,He solicitado el consentimiento de mis co-escritores para enviar esta canción a los Djooky Music Awards.,
this_song_is_compliance,this_song_is_compliance,This song is compliance with the ,Эта песня соответствует,Ця пісня відповідає,这首歌符合,この楽曲は...を遵守します。,이 노래는 ...을 준수합니다.,Esta canción cumple con los,
djooky_music_awards_guidelines,,Djooky Music Awards guidelines,требованиям Djooky Music Awards,вимогам Djooky Music Awards,无界音乐平台音乐奖的规则,Djooky Music Awardsのガイドライン,Djooky Music Awards 가이드라인,Directrices de los Djooky Music Awards,
done,Done,Done,Сделано,Готово,已完成,完了,완료된,Hecho,
song_has_been_nominated,your_song_has_been_nominated,Your song has been nominated. Invite your fans to vote for it! ,Твоя песня номинирована. Пригласи своих поклонников проголосовать за нее!,Твоя пісня номінована. Запроси своїх шанувальників проголосувати за неї!,你的歌曲已被提名。邀请你的粉丝支持你！,あなた様の楽曲がノミネートされました。ファンが投票するように招待してください。,노래는 노미네이트 되었습니다. 여러분의 팬들을 투표에 초대하세요!,Tu canción ha sido nominada. ¡Invita tus fans para votar!,
hidden,hidden,Hidden,Скрыто,Сховано ,隐,隠された,은닉되어 있습니다,Oculto,
share,share,Share,Поделиться,Поділитися,分享,共有,공유하세요,Compartir este,
success,,Success,Успешно!,Успішно!,成功了,成功,성공,Éxito,
removing_song,,Removing song,Удаляем песню,Видаляємо пісню,删除该歌曲,曲を削除する,노래를 지우기,Eliminando canción,
ask_remove_song,,Are you sure you want to delete this song?,"Вы уверены, что хотите удалить эту песню?","Ви впевнені, що хочете видалити цю пісню?",你确认想删除该歌曲吗？,この曲を本当に退会しますか。,이 노래를 삭제하시겠습니까?,¿Estás seguro de que deseas eliminar esta canción?,
yes_delete,,"Yes, delete","Да, удалить","Так, видалити ",是，我想删除一下,はい、削除,"네, 삭제하기","Si, borrar",
cancel,cancel,Cancel,Отменить,Cкасувати,取消,キャンセル,취소,Сancelar,
select_image,select_image,Select Image or Photo,Выберите изображение или фото,Вибрати зображення або фото,选择照片,イメージの選択,이미지나 사진을 선택합니다,Seleccionar imagen o foto,
take_photo,take_photo,Take Photo,Сделать снимок,Зробити знімок,拍照,写真を撮る,사진을 찍기,Tomar foto,
from_library,from_library,Choose from Library,Выбрать из библиотеки,Вибрати з Бібліотеки ,在手机上选择,ライブラリから選択,라이브러리에서 선택하기,Elige de la biblioteca,
,,,,,,,,,
,Окно голосования за песню,,,,,,,,
confirm,CONFIRM,CONFIRM,ПОДТВЕРДИТЬ,ПІДТВЕРДИТИ,确认,確認,확인,CONFIRMAR,
entering_amount,,Tap to enter the amount of VP,"Нажмите, чтобы ввести количество VP","Натисніть, щоб ввести кількість VP",点击以输入VP数量,タップしてVP（投票ポイント）の数を入力,VP의 양을 입력하려면 누릅하세요,Toque para ingresar la cantidad de VP,
,,Tap to enter the amount of HP,"Нажмите, чтобы ввести количество HP","Натисніть, щоб ввести кількість HP",点击以输入HP数量,タップするとHPの量を入れる,HP의 양을 입력하려면 누릅니다,Toque para ingresar la cantidad de HP,
credits,Credits,Credits,Информация,Інформація,信息,クレジット,크레딧,Créditos,Anerkennungen
new_comment,New Comment,New Comment,Новый комментарий,Новий коментар,新评论,新規コメント,새 댓글,Nuevo comentario,
voting_operation_successful,Voting operation Successful,Voting operation Successful,Голосование прошло успешно,Голосування пройшло успішно,投票成功了,投票操作に成功しました！,투표 작업에 성공했습니다,La votación está completa,
comments,Comments,Comments,Комментарии,Коментарі,评论,コメント,댓글,Comentarios,
DHM_explanation,"Days, hours, and minutes until the end of the weekly cycle","Days, hours, and minutes until the end of the weekly cycle","Дни, часы и минуты до конца недельного цикла","Дні, години та хвилини до закiнчення тижневого циклу",直到初步投票结束的天、小时、分钟,週次サイクルが終了するまでの日や時間および分,"주기가 끝날 때까지 일, 시간 및 분",,
DHM_explanation_national,"Days, hours, and minutes left before the end of the National Voting Round","Days, hours, and minutes left before the end of the National Voting Round","Дней, часов и минут осталось до окончания Национального Голосования","Дні, години та хвилини до закiнчення Національного Голосування",直到全国投票结束的天、小时、分钟,国政投票が終了するまでの日や時間および分,"전국 투표가 종료되기까지 일, 시간, 분 남았습니다.","Días, horas y minutos hasta el fin de la Ronda Nacional de Votación",
DHM_explanation_continental,"Days, hours, and minutes left before the end of the Continental Voting Round","Days, hours, and minutes left before the end of the Continental Voting Round","Дней, часов и минут осталось до окончания Континентального Голосования","Дні, години та хвилини до закiнчення Континентального Голосування",直到洲际投票结束的天、小时、分钟,大陸投票が終了するまでの日や時間および分,"대륙별 투표가 종료되기까지 일, 시간, 분 남았습니다.","Días, horas y minutos hasta el fin de la Ronda Continental de Votación",
DHM_explanation_global,"Days, hours, and minutes left before the end of the Global Voting Round","Days, hours, and minutes left before the end of the Global Voting Round","Дней, часов и минуто сталось до окончания Глобального Голосования","Дні, години та хвилини до закiнчення Глобального Голосування",直到全球投票结束的天、小时、分钟,グローバル投票が終了するまでの日や時間および分,"글로벌 투표가 종료되기까지 일, 시간, 분 남았습니다.","Quedan días, horas y minutos hasta el fin de la Ronda Global de Votación",
view_all,View all,View all,Просмотреть все,Подивитись все,查看全部,すべて表示,모두 보기,Ver todo,
all_time,All-time,All-time,Все время,Весь час,总是,過去最高,모든 시간,De todo el tiempo,
season,Season,Season,Сезон,Сезон,季节,シーズン,시즌,Temporada,
month,Month,Month,Месяц,Місяць,月份,月,주,Mes,
week,Week,Week,Неделя,Тиждень,星期,週間,월,Semana,
invite_from_drawer,,Register now and take part in the first global online song contest\nGoogle\nhttp://play.google.com/store/apps/details?id=com.djooky\nApple\nhttps://apps.apple.com/us/app/dooky/id1523056414,Зарегистрируйтесь сейчас и примите участие в первом глобальном онлайн-конкурсе песен\nGoogle\nhttp://play.google.com/store/apps/details?id=com.djooky\nApple\nhttps://apps.apple.com/us/app/dooky/id1523056414,Зареєструйтеся зараз і візьміть участь у першому глобальному онлайн-конкурсі пісень\nGoogle\nhttp://play.google.com/store/apps/details?id=com.djooky\nApple\nhttps://apps.apple.com/us/app/dooky/id1523056414,立即注册并参加首届全球在线歌曲竞赛\nGoogle\nhttp://play.google.com/store/apps/details?id=com.djooky\nApple\nhttps://apps.apple.com/us/app/dooky/id1523056414,今すぐ登録して、最初のグローバルオンラインソ歌合戦に参加してください\nGoogle\nhttp://play.google.com/store/apps/details?id=com.djooky\nApple\nhttps://apps.apple.com/us/app/dooky/id1523056414,지금 등록하고 첫 번째 글로벌 온라인 노래 콘테스트에 참여하세요 \nGoogle\nhttp://play.google.com/store/apps/details?id=com.djooky\nApple\nhttps://apps.apple.com/us/app/dooky/id1523056414,Regístrate ahora y participe en el primer online concurso mundial de canciones \nGoogle\nhttp://play.google.com/store/apps/details?id=com.djooky\nApple\nhttps://apps.apple.com/us/app/dooky/id1523056414,
remove_from_favorite,remove_from_favorite,The song has been removed from the favorite list,Песня удалена из списка Избранных,Пісню видалено зі списку Улюблених,这首歌已从“你喜欢的”中删除,曲がお気に入りから削除されました,노래가 즐겨찾기 목록에서 제거되었습니다,La canción ha sido eliminada de la lista de Favoritos.,
add_to_favorite,add_to_favorite,Song is added to favorites list,Песня добавлена ​​в список Избранных,Пісня додана до списку Улюблених,这首歌已添加到“你喜欢的”,曲がお気に入りに追加されます,노래가 즐겨찾기 목록에 추가됨,La canción se agrega a la lista de Favoritos,
,,,,,,,,,
,Публичное окно Артиста,,,,,,,,
about,About,About,Обо мне,Про мене,关于我们,情報,About,Sobre,
read_more,Read more,Read more,Читать дальше,Читати далі,The song has been removed from the favorite lst,続きを読む,더 알아보기,Leer más,
songs,Songs,Songs,Песни,Пісні,歌曲,楽曲,뮤직,Canciones,
nominated,Nominated,Nominated,Номинированные,Номіновані,已经提名的,ノミネートされた,지명됨,Nominado,
,,,,,,,,,
,,,,,,,,,
,Onbording,,,,,,,,
choose_user_role,choose_user_role,Choose your primary user role to access the respective part of the FAQs,Выберите свою основную пользовательскую роль для доступа к соответствующей части FAQs,"Обери свою основну роль як користувача, щоб отримати доступ до відповідної частини поширених запитань",选择您的用户角色以访问常见问题解答的相应部分,FAQの各部品をアクセスするために各自のプライマリ・ユーザ・タイプを選択してください。,FAQ의 각 부분에 액세스할 기본 사용자 역할을 선택하세요,Elija su función de usuario principal para acceder a la parte correspondiente de las preguntas frecuentes,
i_am_an_artist,i_am_an_artist,I am an Artist,Я артист,Я артист,我是音乐家,私はアーティストです。,아티스트입니다,Soy un artista,
i_am_an_lover,i_am_an_lover,I am a Music Lover,Я фанат музыки,Я фанат музики,我是音乐爱好者,私はリスナーです。,뮤직 러버입니다,Soy un fan de música,
,,,,,,,,,
,Artist Onbording,,,,,,,,
upload_your_songs,upload_your_songs,Upload your original songs,Загрузи свои оригинальные песни,Завантаж свої оригінальні пісні,上传您的原曲,オリジナル楽曲アップロード,자신곡 업로드하세요,Sube tus canciones originales,
add_song,add_song,Add song,Добавь песню,Додай пісню,添加歌曲,曲が追加,노래를 축하하세요,Agregar una cancion,
nominate_your_song,nominate_your_song,Nominate your song for the Djooky Music Awards,Номинируй свою песню на премию Djooky Music Awards,Номінуй свою пісню на Djooky Music Awards,在无界音乐平台音乐奖上提名您的歌曲,Djooky Music Awardsに楽曲をノミネートする,Djooky Music Awards에 노래를 지명하세요,Nomina tu canción para los Djooky Music Awards,
nominate,nominate,Nominate,Номинировать,Номінувати,提名您的歌曲,ノミネート,지명합니다,Nominar,
share_djooky_journey,share_djooky_journey,Share your Djooky journey with your fan community on social media.,Поделись своим опытом в Djooky со своим фанатами в социальных сетях,Поділися своєю подорожжю з Djooky зі своєю фан-спільнотою в соціальних мережах.,在社交媒体与粉丝社区分享您的无界音乐平台音乐奖经验。,Djookyをファンコミュニティとソーシャルメディアで共有します。,소셜 미디어에서 팬 커뮤니티와 주키 여정을 공유하세요,Comparte tu viaje de Djooky con tu comunidad de fans en las redes sociales.,
see_your_song_climb,see_your_song_climb,See your song climb,"Смотрите, как твоя песня набирает рейтинг",Спостерігай за зростанням рейтингу своєї пісні,关注您歌曲榜单排名,自分の楽曲が上がるのを見てください,노래 올리가는 거 보기,Observa cómo tu canción sube en la lista,
read_the_faq_awards,read_the_faq_awards,For more details on how to take part in the DMA please read the FAQs.,"Подробнее о том, как принять участие в Премии читайте в FAQ","Щоб отримати докладнішу інформацію про те, як взяти участь у конкурсі, ознайомся з FAQs. ",有关如何参加无界音乐平台音乐奖的更多详细信息，请阅读常见问题解答。,Djookyに参加に関する詳細についてはFAQを読んでください。,어워드에 참여하는 방법에 대한 자세한 내용은 FAQ를 알아보세요,"Para obtener más detalles sobre cómo participar en el DMA, lea las preguntas frecuentes.",
read_faqs,read_faqs,Read FAQs,Читать FAQ,Читати FAQ,阅读常见问题解答,FAQを読む,FAQs 읽기,Leer FAQs,
close,close,Close,Закрыть,Закрити,关闭,閉じる,닫기,cerrar,
next,Next,Next,Далее,Далі,下一个,次,다음,siguiente,
,,,,,,,,,
,Fan Onbording,,,,,,,,
discover_and_listen,discover_and_listen,Discover and listen to the original music from artists and songwriters from all over the world.,Открой для себя новую музыку от исполнителей и авторов со всего мира,Відкривай для себе та слухай оригінальну музику від виконавців та авторів пісень з усього світу.,发现并收听来自世界各地的音乐家和作曲家的原创音乐。,世界中のアーティストやソングライターのオリジナル音楽を見つける及び聞く。,전 세계 아티스트와 작사가의 독창적인 음악을 발견하고 들어보세요.,Descubre y escucha música original de artistas y compositores de todo el mundo.,
add_the_songs_you_like,add_the_songs_you_like,Add the songs you like to your Favourites list.,Добавь понравившиеся песни в Избранное.,"Додай пісні, які тобі подобаються, до списку Обрані.",将歌曲添加到“喜欢的”列表中。,好きな曲をお気に入りに追加します。,좋아하는 노래를 별표로 표시하세요,Agrega las canciones que te gustan a tu lista de favoritos.,
vote_tip,vote_tip,"To vote, use your 10 Voting Points (VP) in the finals. Distribute your VP among several songs or give all to one song.","Чтобы проголосовать, используй свои 100 очков (VP) в финале. Распредели голоса между несколькими песнями или отдай все самой любимой.",Для голосування використовуйте свої 100 балів для голосування (VP) у фіналі. Розподіли свої голоси (VP) між кількома піснями або віддай всі одній пісні.,请在决赛时使用您100支持点来支持您喜欢的一首或几首歌曲。,投票するのに、決勝で100投票ポイント（VP）を使用します。 VPを複数の曲に分散するか、全部を1つの曲に割り当てます。,투표하려면 결승에서 100개의 투표 포인트(VP)를 사용하세요. VP를 몇몇 곡들에 나누거나 한 곡에 모두 VP를 제공하세요.,"Para votar, utilice sus 100 puntos de voto (VP) en la final. Distribuya sus VP entre varias canciones o dele todo a una canción.",
songs_climb_tip,songs_climb_tip,Help your favourite songs climb the charts by allocating Voting Points. The maximum you can allocate to a song is 10 VP.,Помоги своим любимым песням подняться в чартах! Начисляй им очки поддержки! Ты можешь отдать максимум 100 очков одной песне.,"Допоможи своїм улюбленим пісням піднятися в чартах, віддавши їм бали підтримки. Максимум, що ти можеш віддати пісні - 100 балів (VP).",帮助您喜欢的歌曲排到前三名。一首歌曲最多可收到100个支持点。,サポートポイントを分配するることで、愛唱曲がチャートを上るのを手伝ってください。100VPは曲に分配することができるのマキシマムです。,지원 포인트를 할당하여 좋아하는 노래가 차트에 오를 수 있도록 지원하세요. 한 곡에 할당할 수 있는 최대치는 100 VP이다.,Asigna puntos de apoyo para que tus canciones favoritas suban en las listas. El máximo que puedes asignar a una canción es 100 VP.,
read_the_faq,read_the_faq,For more details on how to take part in the DMA please read the FAQs.,"Для получения более подробной информации о том, как принять участие в DMA, прочтите FAQ.","Щоб отримати докладнішу інформацію про те, як взяти участь у DMA, прочитайте поширені запитання.",有关如何参加比赛的更多信息，请阅读常见问题解答。,DMAに参加する方法の詳細についてはよくある質問（FAQs)を読んでください。,어워드에 참여하는 방법에 대한 자세한 내용은 FAQ를 알아보세요,"Para obtener más detalles sobre cómo participar en el DMA, lea las preguntas frecuentes.",
,,,,,,,,,
,HitHunter Onbording,,,,,,,,
predict_songs,predict_songs,Predict which songs will make it to the top of the charts.,Предположи какие песни попадут на вершину чартов.,"Прогнозуй, які пісні потраплять на перше місце у чарті.",预测哪些是最热门的歌曲。,どんな曲がチャートのトップに立つ予測します。,어떤 노래가 차트 상위권에 진입할지 예측해보세요.,Predice qué canciones llegarán a la cima de las listas,
add_song_to_forecast_tab,add_song_to_forecast_tab,Add the songs you believe to become the future hits to the HitHunter tab.,"Добавь песни, которые по твоему мнению станут будущими хитами во вкладку ХитХантер.","Додай пісні, які, на твою думку, можуть стати майбутніми хітами, до вкладки ХітХантер.",将您认为会成为未来热门的歌曲添加到“预测”。,未来のヒット曲になると思う予測タブに追加します。,생각 한대로 HitHunter 탭에 미래의 히트곡이 될 것으로 노래를 추가하세요.,Agrega las canciones que crees que se convertirán en éxitos futuros a HitHunter,
about_voting_point,about_voting_point,"To vote, use your 10 HitHunter Points (HP). Distribute your HP among several songs or give all to one song.","Чтобы проголосовать, используй свои 100 очков (HP). Распредели свои очки между несколькими песнями или отдай все самой любимой.",Для голосування використовуй свої 100 балів для голосування (HP). Розподіли свої бали (HP) між кількома піснями або віддай всі одній пісні.,在进行投票时，请使用你的100个HitHunter点（HP点）。 在几首歌曲中分配你的HP点，或者全部分配给一首歌曲。,投票するのに、決勝で100HitHunterポイント（HP）を使用します。 HPを複数の曲に分散するか、全部を1つの曲に割り当てます。,투표하려면 100개의 HP(HitHunter Points)를 사용하십시오. 여러 곡에 HP를 배포하거나 한 곡에 모두 제공합니다.,"Para votar, utilice sus 100 puntos de voto (HP). Distribuya sus HP entre varias canciones o dele todo a una canción.",
see_your_name_climb,see_your_name_climb,Compete against other music lovers from all over the world in the HitHunter contest. See your name climb the HitHunter charts.,Соревнуйся с другими любителями музыки со всего мира в конкурсе ХитХантер. Наблюдай как твое имя поднимается в чартах ХитХантер.,"Змагайся з іншими фанатами музики з усього світу в конкурсі ХітХантер. Спостерігий, як твоє ім’я піднімається у хіт-параді ХітХантер.",在HitHunter竞赛中与来自世界各地的其他音乐爱好者竞争。,HitHunterのコンテストで世界中の他のリスナーと競います。HitHunterチャートで自分の名前を表示されてします。,HitHunter 콘테스트에서 전 세계의 다른 음악 뮤직 라버과 겨루어 보세요. HitHunter 차트에 오르는 여러분의 이름을 보세요.,Compite contra otros fans de música de todo el mundo en el concurso HitHunter. Vea cómo tu nombre sube en las listas de HitHunter.,
,,,,,,,,,
,,,,,,,,,
,Filters,,,,,,,,
find_songs,find_songs,Find Songs,Найти песни,Знайти пісні,查找歌曲,楽曲検索,노래 검색,Buscar canciones,
reset_all,reset_all,Reset All,Сбросить все,Скинути все,重置全部,すべてリセット,재설정,Restablecer todo,
type_here_to_find_songs,type_here_to_find_songs,Type here to find songs,"Пиши здесь, чтобы найти песни","Пиши тут, щоб знайти пісні",这里键入以查找歌曲,曲を見つける,검색입력,Escribe aquí para buscar canciones,
cancel,cancel,Cancel,Отменить,Скасувати,取消,キャンセル,취소,cancelar,
sort_by,sort_by,Sort by,Сортировать по,Сортувати за,排序方式,ソートする,정렬 기준,Ordenar por,
newest,newest,Newest,Новинки,Найновіші,最新的,最新,최신의,Más nuevo,
most_listened,most_listened,Most listened,Самые популярные,Найпопулярніші,最常听的,最も再生,가장 많이 듣는,Más escuchado,
locations,locations,LOCATIONS,МЕСТОПОЛОЖЕНИЯ,МІСЦЕПОЛОЖЕННЯ,地点,地域,위치,UBICACIONES,
genre,genre,GENRE,ЖАНР,ЖАНР,音乐类型,ジャンル,장르,GÉNERO,
others,others,OTHERS,ДРУГИЕ,ІНШЕ,其他,他,기타,OTROS,
save_filters,save_filters,Save Filters,Сохранить фильтры,Зберегти фільтри,保存,同意して変更を保存,필터 저장,Guardar filtros,
expert_choise,expert_choise,Experts choice,Выбор экспертов,Вибір експертів,专家选择,専門家の選択,전문가 선택,Elección de expertos,
added_after,added_after,Added after,Добавлено после,Додані після,稍后添加,追加後,...다음에 추가되었습니다.,Añadido después de,
not_listened_yet,not_listened_yet,Not listened yet,Еще не прослушанные,Ще не прослухані,还没有听过,まだ再生ない,듣지 안 함,No escuchado,
all_songs,all_songs,All songs,Все песни,Всі пісні,全部歌曲,全楽曲,모든 노래,Todas las canciones,
,,,,,,,,,
,Окно переключения языков,,,,,,,,
languages,Languages,Languages,Языки,Мови,语言,言語,언어,Idiomas,Languages
lng_en,,English,Английский,Англійська,英语,英語,영어,Inglés,English
lng_rus,,Russian,Русский,Російська,俄语,ロシア,러시아인,Ruso,Russian
lng_es,,Spanish,Испанский,Іспанська,西班牙文,スペイン語,스페인의,Español,Spanish
lng_ua,,Ukrainian,Украинский,Українська,乌克兰,ウクライナ語,우크라이나 인,Ucranio,Ukrainian
lng_cn,,Chinese,Китайский,Китайська,中文,中国語,중국말,Chino,Chinese
lng_jp,,Japanese,Японский,Японська,日本,日本人,일본어,Japonés,Japanese
lng_kr,,Korean,Корейский,Корейська,韩语,韓国語,한국어,Coreano,Korean
,,,,,,,,,
,Жанры в фильтрах,,,,,,,,
gen_afrobeat,,Afrobeat,Афробит,Афробіт,非洲节奏,アフロビート,아프로비트,Afrobeat,Afrobeat
gen_alternative,,Alternative,Альтернативная,Альтернатива,另类音乐,オルタナティヴ,얼터너티브,Alternativa,Alternative
gen_classic,,Classical,Классическая,Класична,古典乐,クラシック,클래식,Clásico,Classical
gen_country,,Country,Кантри,Кантрі,乡村音乐,カントリー,컨트리,Country,Country
gen_edm_electronic,,EDM/Electronic,EDM/Электро,EDM / електронна,电音/电子音乐,エレクトロニック・ダンス・ミュージック,EDM/전자,EDM / Electrónico,EDM/Electronic
gen_hip_hop_r_n_b_soul,,Hip Hop/R&B/Soul,Хип-Хоп/R&B/Soul,Хіп-хоп/R&B/Soul,嘻哈音乐/节奏蓝调/黑人音乐,ヒップホップ/R&B/ソウル,힙합/R&B/소울,Hip-Hop/R&B/Soul,Hip Hop/R&B/Soul
gen_indie,,Indie,Инди,Інді,独立音乐,インディー,인디,Indie,Indie
gen_jazz_blues,,Jazz/Blues,Джаз/Блюз,Джаз/Блюз,爵士乐/布鲁斯音乐,ジャズ/ブルース,재즈/블루스,Jazz/Blues,Jazz/Blues
gen_k_pop,,K-pop,K-pop,K-pop,韩流音乐,K-pop,K-팝,K-pop,K-pop
gen_latin,,Latin,Латин,Латинська,拉丁音乐,ラテン音楽,라틴,Latín,Latin
gen_pop,,Pop,Поп,Поп,流行音乐,ポップ,팝,Pop,Pop
gen_reggae,,Reggae,Регги,Реггі,雷盖,レゲエ,레게,Reggae,Reggae
gen_rock_metal,,Rock/Metal,Рок/Метал,Рок / Метал,摇滚乐/金属音乐,ロック/ヘヴィメタル,록/메탈,Metal,Rock/Metal
,,,,,,,,,
,Список стран,,,,,,,,
enter_country_name,,Enter country name,Введите название страны,Введіть назву країни,输入国家名称,国名を入力してください,국가 이름 입력,Ingrese el nombre del país,Enter country name
,,,,,,,,,
afghanistan,,Afghanistan,Афганистан,Афганістан,阿富汗,アフガニスタン,아프가니스탄,Afganistán,Afghanistan
albania,,Albania,Албания,Албанія,阿尔巴尼亚,アルバニア,알바니아,Albania,Albania
algeria,,Algeria,Алжир,Алжир,阿尔及利亚,アルジェリア,알제리,Argelia,Algeria
american_samoa,,American Samoa,Американское Самоа,Американське Самоа,美属萨摩亚,アメリカ領サモア,아메리칸사모아,Samoa Americana,American Samoa
andorra,,Andorra,Андорра,Андорра,安道尔,アンドラ,안도라,Andorra,Andorra
angola,,Angola,Ангола,Ангола,安哥拉,アンゴラ,앙골라,Angola,Angola
antigua_and_barbuda,,Antigua and Barbuda,Антигуа и Барбуда,Антигуа та Барбуда,安提瓜和巴布达,アンティグア・バーブーダ,앤티가 바부다,Antigua y Barbuda,Antigua and Barbuda
argentina,,Argentina,Аргентина,Аргентина,阿根廷,アルゼンチン,아르헨티나,Argentina,Argentina
armenia,,Armenia,Армения,Вірменія,亚美尼亚,アルメニア,아르메니아,Armenia,Armenia
australia,,Australia,Австралия,Австралія,澳大利亚,オーストラリア,호주,Australia,Australia
austria,,Austria,Австрия,Австрія,奥地利,オーストリア,오스트리아,Austria,Austria
azerbaijan,,Azerbaijan,Азербайджан,Азербайджан,阿塞拜疆,アゼルバイジャン,아제르바이잔,Azerbaiyán,Azerbaijan
bahamas,,Bahamas,Багамы,Багами,巴哈马,バハマ,바하마,Bahamas,Bahamas
bahrain,,Bahrain,Бахрейн,Бахрейн,巴林,バーレーン,바레인,Bahréin,Bahrain
bangladesh,,Bangladesh,Бангладеш,Бангладеш,孟加拉国,バングラデシュ,방글라데시,Bangladesh,Bangladesh
barbados,,Barbados,Барбадос,Барбадос,巴巴多斯,バルバドス,바베이도스,Barbados,Barbados
belarus,,Belarus,Беларусь,Білорусь,白罗斯,ベラルーシ,벨라루스,Bielorrusia,Belarus
belgium,,Belgium,Бельгия,Бельгія,比利时,ベルギー,벨기에,Bélgica,Belgium
belize,,Belize,Белиз,Беліз,伯利兹,ベリーズ,벨리즈,Belice,Belize
benin,,Benin,Бенин,Бенін,贝宁,ベナン,베냉,Benin,Benin
bhutan,,Bhutan,Бутан,Бутан,不丹,ブータン,부탄,Bután,Bhutan
bolivia,,Bolivia,Боливия,Болівія,玻利维亚,ボリビア,볼리비아,Bolivia,Bolivia
bosnia_and_herzegovina,,Bosnia and Herzegovina,Босния и Герцеговина,Боснія і Герцеговина,波斯尼亚和黑塞哥维那,ボスニア・ヘルツェゴビナ,보스니아 헤르체고비나,Bosnia y Herzegovina,Bosnia and Herzegovina
botswana,,Botswana,Ботсвана,Ботсвана,博茨瓦纳,ボツワナ,보츠와나,Botswana,Botswana
brazil,,Brazil,Бразилия,Бразилія,巴西,ブラジル,브라질,Brasil,Brazil
brunei,,Brunei,Бруней,Бруней,文莱,ブルネイ,브루나이,Brunei,Brunei
bulgaria,,Bulgaria,Болгария,Болгарія,保加利亚,ブルガリア王国,불가리아,Bulgaria,Bulgaria
burkina_faso,,Burkina Faso,Буркина-Фасо,Буркіна-Фасо,布基纳法索,ブルキナファソ,부르키나파소,Burkina Faso,Burkina Faso
burundi,,Burundi,Бурунди,Бурунді,布隆迪,ブルンジ,부룬디,Burundi,Burundi
cabo_verde,,Cabo Verde,Кабо-Верде,Кабо-Верде,佛得角,カーボベルデ,카보 베르데,Cabo Verde,Cabo Verde
cambodia,,Cambodia,Камбоджа,Камбоджа,柬埔寨,カンボジア,캄보디아,Camboya,Cambodia
cameroon,,Cameroon,Камерун,Камерун,喀麦隆,カメルーン,카메룬,Camerún,Cameroon
canada,,Canada,Канада,Канада,加拿大,カナダ,캐나다,Canadá,Canada
central_african_republic,,Central African Republic,Центральноафриканская Республика,Центральноафриканська Республіка,中非共和国,中央アフリカ共和国,중앙아프리카 공화국,República Centroafricana,Central African Republic
chad,,Chad,Чад,Чад,乍得,チャド,채드,Chad,Chad
chile,,Chile,Чили,Чилі,智利,チリ,칠리,Chile,Chile
china,,China,Китай,Китай,中国,チャイナ,중국,China,China
colombia,,Colombia,Колумбия,Колумбія,哥伦比亚,コロンビア,콜롬비아,Colombia,Colombia
comoros,,Comoros,Коморские острова,Коморські острови,科摩罗,コモロ,코모로,Comoras,Comoros
congo,,Congo,Конго,Конго,刚果,コンゴ共和国,콩고,Congo,Congo
costa_rica,,Costa Rica,Коста-Рика,Коста-Ріка,哥斯达黎加,コスタリカ,코스타리카,Costa Rica,Costa Rica
cote_de_voir,,Cote de Voir,Кот-де-Вуар,Кот-де-Вуар,科特迪瓦,コートジボワール,코테 드 보이르,Cote de Voir,Cote de Voir
croatia,,Croatia,Хорватия,Хорватія,克罗地亚,クロアチア,크로아티아,Croacia,Croatia
cuba,,Cuba,Куба,Куба,古巴,キューバ,쿠바,Cuba,Cuba
cyprus,,Cyprus,Кипр,Кіпр,塞浦路斯,キプロス,키프로스,Chipre,Cyprus
czech_republic,,Czech Republic,Чехия,Чехія,捷克,チェコ,체코,República Checa,Czech Republic
dprk,,DPRK,КНДР,КНДР,朝鲜,朝鮮民主主義人民共和国,조선민주주의인민공화국,RPDC,DPRK
